"vdova", "widow"
"dělat si z někoho / něčeho srandu", "make fun (of)"
"žárlit", "be jealous (of)"
"požádat o ruku", "propose (to somebody)"
"mazlit se", "cuddle"
"obejmout", "hug"
"líbit se", "fancy"
"důvěřovat", "trust"
"lhát", "lie (to)"
"obdivovat", "admire"
"slibovat", "promise"
"udělat rozhodnutí", "make a decision (at)"
"udělat chybu", "make a mistake (in)"
"udělat pokrok", "make progress (in)"
"udělat kompromis", "make a compromise (in / with them)"
"udělat nepořádek", "make a mess"
"udělat někoho šťastným", "make somebody happy"
"přimět někoho k něčemu", "make somebody do something"
"prokázat někomu laskavost", "do somebody a favour"
"sportovat", "do sports"
"udělat účes", "do somebody's hair"
"udělat nehty", "do somebody's nails"
"dělat domácí práce", "do the housework"
"vyprat", "do the laundry / washing"
"nakupovat", "do the shopping"
"vyžehlit", "do the ironing"
"předtím", "before"
"potom", "after"
"až", "when"
"jakmile", "as soon as"
"v případě že", "in case"
"dokud ne", "until"
"zajímat se o", "be interested in"
"stydět se za", "be ashamed of"
"bát se něčeho", "be afraid of"
"dělat si starosti", "be worried about"
"být pyšný na", "be proud of"
"litovat něčeho", "be sorry about"
"omlouvat se za něco", "be sorry for"
"mít něčeho dost", "be fed up with"
"požádat", "apply (for)"
"plný úvazek", "full time"
"částečný úvazek", "part time"
"směny", "shifts"
"zaměstnat", "employ"
"propustit", "dismiss"
"vyhodit / být vyhozen", "fire / be fired"
"povýšit / být povýšen", "promote / be promoted"
"být samostatně výdělečně činný", "be self employed"
"být na nemocenské", "be on sick leave"
"personál", "staff"
"plat", "salary"
"dovednosti", "skills"
"mít na starosti", "be in charge (of)"
"letět letadlem", "go by plane"
"letět", "fly"
"let", "flight"
"letenka", "flight / plane ticket"
"palubní lístek", "boarding pass"
"pasová kontrola", "passport control"
"odbavit se", "check in"
"místo u okýnka", "window seat"
"místo v uličce", "aisle seat"
"zapnout si můj pás", "fasten my seatbelt"
"rozloučit se s někým / vyprovodit někoho", "see somebody off (at)"
"dohlédnout na něco", "keep an eye on something"
"na palubě", "on board"
"letuška", "flight attendant"
"řídit letadlo", "steer the aircraft"
"donutit", "force"
"dovolit", "allow"
"rozkázat", "order"
"potřebovat", "need"
"říct", "tell"
"být zvyklý", "be used to"
"být schopnen", "be able to"
"kloub", "joint"
"končetina", "limb"
"kost", "bone"
"krev", "blood"
"kůže", "skin"
"orgán", "organ"
"prst", "digit (a finger or toe)"
"sval", "muscle"
"bok", "hip"
"břicho", "abdomen"
"čelist", "jaw"
"čelo", "brow"
"hlava", "head"
"hrdlo", "throat"
"hruď", "chest"
"hýždě", "bottom, bum"
"jazyk", "tongue"
"kolena", "knees"
"kotníky", "ankles"
"krk", "neck"
"líce", "cheeks"
"lokty", "elbows"
"nohy", "legs, feet"
"nos", "nose"
"obočí", "brow, eye-brows"
"oči", "eyes"
"palec", "thumb"
"paty", "heels"
"pánev", "pelvis"
"paže", "arms"
"penis", "penis"
"prsa", "breasts"
"prsty", "fingers, toes, digits"
"pupek", "navel"
"pyj", "penis"
"rty", "lips"
"ruce", "hands, arms"
"slabina", "groin"
"stehna", "thighs"
"tvář", "face"
"uši", "ears"
"ústa", "mouth"
"vlasy", "hair(pl)"
"záda", "back"
"zadek", "backside"
"zuby", "teeth"
